builder_key,display_name,family,parameter_billions,regime,Graph Construction,ER,RR,Retrieval,QA,Graph Construction_share,ER_share,RR_share,Retrieval_share,QA_share,Graph Construction_seconds_per_unit,ER_seconds_per_unit,RR_seconds_per_unit,Retrieval_seconds_per_unit,QA_seconds_per_unit,retrieval_latency_mean_s,retrieval_latency_p95_s,answer_latency_mean_s,answer_latency_p95_s,context_tokens_mean,answer_tokens_mean,retrieval_mrr,qa_accuracy,questions,total_pipeline_hours,correct_answers_per_pipeline_hour,mrr_points_per_pipeline_hour,retry_excess,max_attempt_count,qa_pareto,mrr_pareto
gemma3_4b,Gemma 3 4B,gemma3,4.0,ER,5.895061624166667,1.5454640916666667,0.0,0.17127550472222222,1.3849205011111112,0.6552455223739644,0.17178080410609448,0.0,0.01903754612191039,0.1539361273980308,48.23232237954546,35.89464987096774,,5.1382651416666665,41.54761503333334,5.114046966963603,6.6417877685045825,41.52596961178545,45.52216117286589,5569.266666666666,5906.575,0.34814814814814815,0.2916666666666667,120,8.996721721666667,3.8903059450766424,3.869722315737613,0.0,1.0,False,False
gemma3_4b,Gemma 3 4B,gemma3,4.0,ER+RR,5.895061624166667,1.5454640916666667,4.795914973055555,0.17133414194444443,1.387424486388889,0.42732703519601534,0.11202912376461834,0.3476510098022456,0.01241983809038172,0.100572993146739,48.23232237954546,35.89464987096774,111.38899292258063,5.140024258333333,41.62273459166667,5.117061114231668,6.67213301633019,41.602340015239314,45.653570778958965,5583.075,5919.35,0.34814814814814815,0.30833333333333335,120,13.79519931722222,2.6820924547141853,2.523690598029364,0.0,1.0,False,False
qwen35_0_8b,Qwen3.5 0.8B,qwen3.5,0.8,Native,3.3607916749999998,0.0,0.0,0.1759755497222222,1.3800701452777777,0.6835271175544291,0.0,0.0,0.03579039461340212,0.2806824878321688,27.49738643181818,,,5.279266491666666,41.40210435833333,5.263251572921096,6.664652824413496,41.38615182776412,46.294584750308424,5536.608333333334,5882.25,0.25,0.2833333333333333,120,4.91683737,6.9150141526849005,5.084569229915368,0.0,1.0,False,False
qwen35_0_8b,Qwen3.5 0.8B,qwen3.5,0.8,ER,3.3607916749999998,0.4638827963888889,0.0,0.1955408438888889,1.3784508594444445,0.622522594698666,0.08592544554076953,0.0,0.03622021394922609,0.2553317458113383,27.49738643181818,10.774052045161291,,5.866225316666667,41.35352578333333,5.8419529125016805,8.906464391760524,41.332470174277354,46.380735883000305,5537.833333333333,5879.433333333333,0.32037037037037036,0.36666666666666664,120,5.398666174722222,8.15016127613483,5.93425042412174,1.0,2.0,True,False
qwen35_0_8b,Qwen3.5 0.8B,qwen3.5,0.8,ER+RR,3.3607916749999998,0.4638827963888889,3.424666123611111,0.16871913916666667,1.3747610161111112,0.38221996904620487,0.052756994548562156,0.3894843555753051,0.019188283709904653,0.15635039712002322,27.49738643181818,10.774052045161291,79.5406325483871,5.0615741750000005,41.242830483333336,5.040372083322533,6.578643376810942,41.22125834757462,46.51999110070756,5536.366666666667,5872.35,0.29814814814814816,0.31666666666666665,120,8.792820750277778,4.321707570212838,3.3908134444652385,1.0,2.0,False,False
qwen35_2b,Qwen3.5 2B,qwen3.5,2.0,Native,3.247433737222222,0.0,0.0,0.16690784444444445,1.3638939447222223,0.6796303194531818,0.0,0.0,0.03493085335008248,0.28543882719673586,26.569912395454544,,,5.007235333333333,40.91681834166666,4.985796515299201,6.501239422545768,40.899689103537824,46.28189586209483,5522.141666666666,5823.191666666667,0.26296296296296295,0.26666666666666666,120,4.7782355263888885,6.697032790299421,5.503348704991422,3.0,4.0,False,False
qwen35_2b,Qwen3.5 2B,qwen3.5,2.0,ER,3.247433737222222,0.33028275027777776,0.0,0.1708650597222222,1.352534846111111,0.6366123583195052,0.06474715039033915,0.0,0.033495620673452256,0.2651448706167034,26.569912395454544,7.671083232258064,,5.125951791666666,40.57604538333333,5.102492640250905,6.579578926484101,40.557295251032336,45.34835842307657,5474.658333333334,5784.091666666666,0.3277777777777778,0.3416666666666667,120,5.101116393333333,8.037456281841175,6.425608680604734,4.0,4.0,True,False
qwen35_2b,Qwen3.5 2B,qwen3.5,2.0,ER+RR,3.247433737222222,0.33028275027777776,5.129462530555555,0.17143260055555556,1.3637822211111112,0.3170580811516904,0.032246636425643946,0.500806999889263,0.016737552103366967,0.13315073043003564,26.569912395454544,7.671083232258064,119.13590393548387,5.1429780166666665,40.913466633333336,5.08785083021891,6.518047879543156,40.89244379516652,45.53930058607366,5505.15,5817.883333333333,0.3333333333333333,0.31666666666666665,120,10.242393839722222,3.710070184240306,3.2544475300353555,4.0,4.0,False,False
qwen35_4b,Qwen3.5 4B,qwen3.5,4.0,Native,10.7274220025,0.0,0.0,0.16825818305555557,1.343692118611111,0.8764683135627837,0.0,0.0,0.013747288576087776,0.10978439786112854,87.76981638409092,,,5.047745491666666,40.31076355833333,5.023385631278506,6.5458293274394235,40.29414576283307,45.30823486287263,5403.625,5728.941666666667,0.22037037037037036,0.2916666666666667,120,12.239372304166668,2.859623772379642,1.8005038566834781,0.0,1.0,False,False
qwen35_4b,Qwen3.5 4B,qwen3.5,4.0,ER,10.7274220025,2.4626466588888887,0.0,0.17233232055555556,1.339119632777778,0.7296811182754439,0.16750965586667102,0.0,0.011722074543974764,0.09108715131391053,87.76981638409092,57.19695465806451,,5.169969616666666,40.17358898333334,5.1441981142445,6.544194741395768,40.15435908018844,45.475919712753964,5405.0,5720.591666666666,0.3,0.31666666666666665,120,14.701520614722224,2.5847666371291202,2.0406052398387793,0.0,1.0,False,False
